origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
San Roque,San Roque,,0.0000000,,
San Roque,San Miguel,,0.0000000,,
San Roque,La Cruz,,0.0000000,,
San Roque,San Luis del Palmar,252964.6745167,384348.2903847,191153.4912667,828466.4561681
San Roque,San Cosme,252964.6745167,384348.2903847,189479.4409199,826792.4058214
San Roque,Saladas,252964.6745167,384348.2903847,189479.4409199,826792.4058214
San Roque,Paso de los Libres,252964.6745167,384348.2903847,189479.4409199,826792.4058214
San Roque,Monte Caseros,252964.6745167,384348.2903847,189479.4409199,826792.4058214
San Roque,Mercedes,252964.6745167,384348.2903847,189479.4409199,826792.4058214
San Roque,Mburucuya,252964.6745167,384348.2903847,189479.4409199,826792.4058214
San Roque,Santa Lucia,252964.6745167,384348.2903847,189479.4409199,826792.4058214
San Roque,Ituzaingo,252964.6745167,384348.2903847,189479.4409199,826792.4058214
San Roque,Itati,252964.6745167,384348.2903847,175329.1242904,812642.0891919
San Roque,Goya,252964.6745167,384348.2903847,175329.1242904,812642.0891919
San Roque,Caa Cati,252964.6745167,384348.2903847,175329.1242904,812642.0891919
San Roque,Alvear,252964.6745167,384348.2903847,175329.1242904,812642.0891919
San Roque,Esquina,252964.6745167,384348.2903847,175329.1242904,812642.0891919
San Roque,Empedrado,252964.6745167,384348.2903847,175329.1242904,812642.0891919
San Roque,Curuzu Cuatia,252964.6745167,384348.2903847,175329.1242904,812642.0891919
San Roque,Concepcion,252964.6745167,384348.2903847,175329.1242904,812642.0891919
San Roque,Corrientes,252964.6745167,384348.2903847,206190.1685076,843503.1334090
San Roque,San Antonio de Itati,252964.6745167,384348.2903847,145858.2027044,783171.1676059
San Roque,Bella Vista,252964.6745167,384348.2903847,145858.2027044,783171.1676059
San Roque,Sauce,252964.6745167,384348.2903847,145858.2027044,783171.1676059
San Roque,Santo Tome,252964.6745167,384348.2903847,145858.2027044,783171.1676059
San Miguel,San Roque,252964.6745167,384348.2903847,145858.2027044,783171.1676059
San Miguel,San Miguel,252964.6745167,0.0000000,145858.2027044,783171.1676059
San Miguel,La Cruz,252964.6745167,0.0000000,145858.2027044,783171.1676059
San Miguel,San Luis del Palmar,288776.8910290,384348.2903847,191153.4912667,864278.6726804
San Miguel,San Cosme,288776.8910290,384348.2903847,189479.4409199,862604.6223336
San Miguel,Saladas,288776.8910290,384348.2903847,189479.4409199,862604.6223336
San Miguel,Paso de los Libres,288776.8910290,384348.2903847,189479.4409199,862604.6223336
San Miguel,Monte Caseros,288776.8910290,384348.2903847,189479.4409199,862604.6223336
San Miguel,Mercedes,288776.8910290,384348.2903847,189479.4409199,862604.6223336
San Miguel,Mburucuya,288776.8910290,384348.2903847,189479.4409199,862604.6223336
San Miguel,Santa Lucia,288776.8910290,384348.2903847,189479.4409199,862604.6223336
San Miguel,Ituzaingo,288776.8910290,384348.2903847,189479.4409199,862604.6223336
San Miguel,Itati,288776.8910290,384348.2903847,175329.1242904,848454.3057041
San Miguel,Goya,288776.8910290,384348.2903847,175329.1242904,848454.3057041
San Miguel,Caa Cati,288776.8910290,384348.2903847,175329.1242904,848454.3057041
San Miguel,Alvear,288776.8910290,384348.2903847,175329.1242904,848454.3057041
San Miguel,Esquina,288776.8910290,384348.2903847,175329.1242904,848454.3057041
San Miguel,Empedrado,288776.8910290,384348.2903847,175329.1242904,848454.3057041
San Miguel,Curuzu Cuatia,288776.8910290,384348.2903847,175329.1242904,848454.3057041
San Miguel,Concepcion,288776.8910290,384348.2903847,175329.1242904,848454.3057041
San Miguel,Corrientes,288776.8910290,384348.2903847,206190.1685076,879315.3499213
San Miguel,San Antonio de Itati,288776.8910290,384348.2903847,145858.2027044,818983.3841181
San Miguel,Bella Vista,288776.8910290,384348.2903847,145858.2027044,818983.3841181
San Miguel,Sauce,288776.8910290,384348.2903847,145858.2027044,818983.3841181
San Miguel,Santo Tome,288776.8910290,384348.2903847,145858.2027044,818983.3841181
La Cruz,San Roque,288776.8910290,384348.2903847,145858.2027044,818983.3841181
La Cruz,San Miguel,288776.8910290,384348.2903847,145858.2027044,818983.3841181
La Cruz,La Cruz,288776.8910290,0.0000000,145858.2027044,818983.3841181
La Cruz,San Luis del Palmar,235752.0091179,384348.2903847,191153.4912667,811253.7907693
La Cruz,San Cosme,235752.0091179,384348.2903847,189479.4409199,809579.7404225
La Cruz,Saladas,235752.0091179,384348.2903847,189479.4409199,809579.7404225
La Cruz,Paso de los Libres,235752.0091179,384348.2903847,189479.4409199,809579.7404225
La Cruz,Monte Caseros,235752.0091179,384348.2903847,189479.4409199,809579.7404225
La Cruz,Mercedes,235752.0091179,384348.2903847,189479.4409199,809579.7404225
La Cruz,Mburucuya,235752.0091179,384348.2903847,189479.4409199,809579.7404225
La Cruz,Santa Lucia,235752.0091179,384348.2903847,189479.4409199,809579.7404225
La Cruz,Ituzaingo,235752.0091179,384348.2903847,189479.4409199,809579.7404225
La Cruz,Itati,235752.0091179,384348.2903847,175329.1242904,795429.4237930
La Cruz,Goya,235752.0091179,384348.2903847,175329.1242904,795429.4237930
La Cruz,Caa Cati,235752.0091179,384348.2903847,175329.1242904,795429.4237930
La Cruz,Alvear,235752.0091179,384348.2903847,175329.1242904,795429.4237930
La Cruz,Esquina,235752.0091179,384348.2903847,175329.1242904,795429.4237930
La Cruz,Empedrado,235752.0091179,384348.2903847,175329.1242904,795429.4237930
La Cruz,Curuzu Cuatia,235752.0091179,384348.2903847,175329.1242904,795429.4237930
La Cruz,Concepcion,235752.0091179,384348.2903847,175329.1242904,795429.4237930
La Cruz,Corrientes,235752.0091179,384348.2903847,206190.1685076,826290.4680101
La Cruz,San Antonio de Itati,235752.0091179,384348.2903847,145858.2027044,765958.5022070
La Cruz,Bella Vista,235752.0091179,384348.2903847,145858.2027044,765958.5022070
La Cruz,Sauce,235752.0091179,384348.2903847,145858.2027044,765958.5022070
La Cruz,Santo Tome,235752.0091179,384348.2903847,145858.2027044,765958.5022070
San Luis del Palmar,San Roque,191153.4912667,384348.2903847,252964.6745167,828466.4561681
San Luis del Palmar,San Miguel,191153.4912667,384348.2903847,288776.8910290,864278.6726804
San Luis del Palmar,La Cruz,191153.4912667,384348.2903847,235752.0091179,811253.7907693
San Luis del Palmar,San Luis del Palmar,191153.4912667,0.0000000,235752.0091179,811253.7907693
San Luis del Palmar,San Cosme,191153.4912667,0.0000000,235752.0091179,811253.7907693
San Luis del Palmar,Saladas,191153.4912667,384348.2903847,270892.2577682,846394.0394196
San Luis del Palmar,Paso de los Libres,191153.4912667,384348.2903847,198807.1782721,774308.9599235
San Luis del Palmar,Monte Caseros,191153.4912667,384348.2903847,161791.0079534,737292.7896048
San Luis del Palmar,Mercedes,191153.4912667,384348.2903847,218410.2590271,793912.0406785
San Luis del Palmar,Mburucuya,191153.4912667,384348.2903847,282940.7738737,858442.5555251
San Luis del Palmar,Santa Lucia,191153.4912667,384348.2903847,230823.1031979,806324.8848493
San Luis del Palmar,Ituzaingo,191153.4912667,384348.2903847,321216.2805738,896718.0622252
San Luis del Palmar,Itati,191153.4912667,384348.2903847,321216.2805738,896718.0622252
San Luis del Palmar,Goya,191153.4912667,384348.2903847,223333.8255844,798835.6072358
San Luis del Palmar,Caa Cati,191153.4912667,384348.2903847,302469.4272447,877971.2088961
San Luis del Palmar,Alvear,191153.4912667,384348.2903847,241582.6344459,817084.4160973
San Luis del Palmar,Esquina,191153.4912667,384348.2903847,177758.5350944,753260.3167458
San Luis del Palmar,Empedrado,191153.4912667,384348.2903847,288487.8448726,863989.6265240
San Luis del Palmar,Curuzu Cuatia,191153.4912667,384348.2903847,183908.3583643,759410.1400157
San Luis del Palmar,Concepcion,191153.4912667,384348.2903847,264411.2691823,839913.0508337
San Luis del Palmar,Corrientes,191153.4912667,384348.2903847,264411.2691823,839913.0508337
San Luis del Palmar,San Antonio de Itati,191153.4912667,384348.2903847,264411.2691823,839913.0508337
San Luis del Palmar,Bella Vista,191153.4912667,384348.2903847,257910.0579058,833411.8395572
San Luis del Palmar,Sauce,191153.4912667,384348.2903847,166804.2829257,742306.0645771
San Luis del Palmar,Santo Tome,191153.4912667,384348.2903847,280116.9554949,855618.7371463
San Cosme,San Roque,189479.4409199,384348.2903847,252964.6745167,826792.4058214
San Cosme,San Miguel,189479.4409199,384348.2903847,288776.8910290,862604.6223336
San Cosme,La Cruz,189479.4409199,384348.2903847,235752.0091179,809579.7404225
San Cosme,San Luis del Palmar,189479.4409199,384348.2903847,235752.0091179,809579.7404225
San Cosme,San Cosme,189479.4409199,0.0000000,235752.0091179,809579.7404225
San Cosme,Saladas,189479.4409199,384348.2903847,270892.2577682,844719.9890728
San Cosme,Paso de los Libres,189479.4409199,384348.2903847,198807.1782721,772634.9095768
San Cosme,Monte Caseros,189479.4409199,384348.2903847,161791.0079534,735618.7392580
San Cosme,Mercedes,189479.4409199,384348.2903847,218410.2590271,792237.9903317
San Cosme,Mburucuya,189479.4409199,384348.2903847,282940.7738737,856768.5051783
San Cosme,Santa Lucia,189479.4409199,384348.2903847,230823.1031979,804650.8345026
San Cosme,Ituzaingo,189479.4409199,384348.2903847,321216.2805738,895044.0118785
San Cosme,Itati,189479.4409199,384348.2903847,321216.2805738,895044.0118785
San Cosme,Goya,189479.4409199,384348.2903847,223333.8255844,797161.5568890
San Cosme,Caa Cati,189479.4409199,384348.2903847,302469.4272447,876297.1585493
San Cosme,Alvear,189479.4409199,384348.2903847,241582.6344459,815410.3657506
San Cosme,Esquina,189479.4409199,384348.2903847,177758.5350944,751586.2663990
San Cosme,Empedrado,189479.4409199,384348.2903847,288487.8448726,862315.5761772
San Cosme,Curuzu Cuatia,189479.4409199,384348.2903847,183908.3583643,757736.0896689
San Cosme,Concepcion,189479.4409199,384348.2903847,264411.2691823,838239.0004869
San Cosme,Corrientes,189479.4409199,384348.2903847,264411.2691823,838239.0004869
San Cosme,San Antonio de Itati,189479.4409199,384348.2903847,264411.2691823,838239.0004869
San Cosme,Bella Vista,189479.4409199,384348.2903847,257910.0579058,831737.7892104
San Cosme,Sauce,189479.4409199,384348.2903847,166804.2829257,740632.0142303
San Cosme,Santo Tome,189479.4409199,384348.2903847,280116.9554949,853944.6867995
Saladas,San Roque,189479.4409199,384348.2903847,280116.9554949,853944.6867995
Saladas,San Miguel,189479.4409199,384348.2903847,280116.9554949,853944.6867995
Saladas,La Cruz,189479.4409199,384348.2903847,280116.9554949,853944.6867995
Saladas,San Luis del Palmar,270892.2577682,384348.2903847,191153.4912667,846394.0394196
Saladas,San Cosme,270892.2577682,384348.2903847,189479.4409199,844719.9890728
Saladas,Saladas,270892.2577682,0.0000000,189479.4409199,844719.9890728
Saladas,Paso de los Libres,270892.2577682,0.0000000,189479.4409199,844719.9890728
Saladas,Monte Caseros,270892.2577682,0.0000000,189479.4409199,844719.9890728
Saladas,Mercedes,270892.2577682,0.0000000,189479.4409199,844719.9890728
Saladas,Mburucuya,270892.2577682,0.0000000,189479.4409199,844719.9890728
Saladas,Santa Lucia,270892.2577682,0.0000000,189479.4409199,844719.9890728
Saladas,Ituzaingo,270892.2577682,0.0000000,189479.4409199,844719.9890728
Saladas,Itati,270892.2577682,384348.2903847,175329.1242904,830569.6724433
Saladas,Goya,270892.2577682,384348.2903847,175329.1242904,830569.6724433
Saladas,Caa Cati,270892.2577682,384348.2903847,175329.1242904,830569.6724433
Saladas,Alvear,270892.2577682,384348.2903847,175329.1242904,830569.6724433
Saladas,Esquina,270892.2577682,384348.2903847,175329.1242904,830569.6724433
Saladas,Empedrado,270892.2577682,384348.2903847,175329.1242904,830569.6724433
Saladas,Curuzu Cuatia,270892.2577682,384348.2903847,175329.1242904,830569.6724433
Saladas,Concepcion,270892.2577682,384348.2903847,175329.1242904,830569.6724433
Saladas,Corrientes,270892.2577682,384348.2903847,206190.1685076,861430.7166605
Saladas,San Antonio de Itati,270892.2577682,384348.2903847,145858.2027044,801098.7508573
Saladas,Bella Vista,270892.2577682,384348.2903847,145858.2027044,801098.7508573
Saladas,Sauce,270892.2577682,384348.2903847,145858.2027044,801098.7508573
Saladas,Santo Tome,270892.2577682,384348.2903847,145858.2027044,801098.7508573
Paso de los Libres,San Roque,270892.2577682,384348.2903847,145858.2027044,801098.7508573
Paso de los Libres,San Miguel,270892.2577682,384348.2903847,145858.2027044,801098.7508573
Paso de los Libres,La Cruz,270892.2577682,384348.2903847,145858.2027044,801098.7508573
Paso de los Libres,San Luis del Palmar,198807.1782721,384348.2903847,191153.4912667,774308.9599235
Paso de los Libres,San Cosme,198807.1782721,384348.2903847,189479.4409199,772634.9095768
Paso de los Libres,Saladas,198807.1782721,384348.2903847,189479.4409199,772634.9095768
Paso de los Libres,Paso de los Libres,198807.1782721,0.0000000,189479.4409199,772634.9095768
Paso de los Libres,Monte Caseros,198807.1782721,0.0000000,189479.4409199,772634.9095768
Paso de los Libres,Mercedes,198807.1782721,0.0000000,189479.4409199,772634.9095768
Paso de los Libres,Mburucuya,198807.1782721,0.0000000,189479.4409199,772634.9095768
Paso de los Libres,Santa Lucia,198807.1782721,0.0000000,189479.4409199,772634.9095768
Paso de los Libres,Ituzaingo,198807.1782721,0.0000000,189479.4409199,772634.9095768
Paso de los Libres,Itati,198807.1782721,384348.2903847,175329.1242904,758484.5929473
Paso de los Libres,Goya,198807.1782721,384348.2903847,175329.1242904,758484.5929473
Paso de los Libres,Caa Cati,198807.1782721,384348.2903847,175329.1242904,758484.5929473
Paso de los Libres,Alvear,198807.1782721,384348.2903847,175329.1242904,758484.5929473
Paso de los Libres,Esquina,198807.1782721,384348.2903847,175329.1242904,758484.5929473
Paso de los Libres,Empedrado,198807.1782721,384348.2903847,175329.1242904,758484.5929473
Paso de los Libres,Curuzu Cuatia,198807.1782721,384348.2903847,175329.1242904,758484.5929473
Paso de los Libres,Concepcion,198807.1782721,384348.2903847,175329.1242904,758484.5929473
Paso de los Libres,Corrientes,198807.1782721,384348.2903847,206190.1685076,789345.6371644
Paso de los Libres,San Antonio de Itati,198807.1782721,384348.2903847,145858.2027044,729013.6713613
Paso de los Libres,Bella Vista,198807.1782721,384348.2903847,145858.2027044,729013.6713613
Paso de los Libres,Sauce,198807.1782721,384348.2903847,145858.2027044,729013.6713613
Paso de los Libres,Santo Tome,198807.1782721,384348.2903847,145858.2027044,729013.6713613
Monte Caseros,San Roque,198807.1782721,384348.2903847,145858.2027044,729013.6713613
Monte Caseros,San Miguel,198807.1782721,384348.2903847,145858.2027044,729013.6713613
Monte Caseros,La Cruz,198807.1782721,384348.2903847,145858.2027044,729013.6713613
Monte Caseros,San Luis del Palmar,161791.0079534,384348.2903847,191153.4912667,737292.7896048
Monte Caseros,San Cosme,161791.0079534,384348.2903847,189479.4409199,735618.7392580
Monte Caseros,Saladas,161791.0079534,384348.2903847,189479.4409199,735618.7392580
Monte Caseros,Paso de los Libres,161791.0079534,384348.2903847,189479.4409199,735618.7392580
Monte Caseros,Monte Caseros,161791.0079534,0.0000000,189479.4409199,735618.7392580
Monte Caseros,Mercedes,161791.0079534,0.0000000,189479.4409199,735618.7392580
Monte Caseros,Mburucuya,161791.0079534,0.0000000,189479.4409199,735618.7392580
Monte Caseros,Santa Lucia,161791.0079534,0.0000000,189479.4409199,735618.7392580
Monte Caseros,Ituzaingo,161791.0079534,0.0000000,189479.4409199,735618.7392580
Monte Caseros,Itati,161791.0079534,384348.2903847,175329.1242904,721468.4226286
Monte Caseros,Goya,161791.0079534,384348.2903847,175329.1242904,721468.4226286
Monte Caseros,Caa Cati,161791.0079534,384348.2903847,175329.1242904,721468.4226286
Monte Caseros,Alvear,161791.0079534,384348.2903847,175329.1242904,721468.4226286
Monte Caseros,Esquina,161791.0079534,384348.2903847,175329.1242904,721468.4226286
Monte Caseros,Empedrado,161791.0079534,384348.2903847,175329.1242904,721468.4226286
Monte Caseros,Curuzu Cuatia,161791.0079534,384348.2903847,175329.1242904,721468.4226286
Monte Caseros,Concepcion,161791.0079534,384348.2903847,175329.1242904,721468.4226286
Monte Caseros,Corrientes,161791.0079534,384348.2903847,206190.1685076,752329.4668457
Monte Caseros,San Antonio de Itati,161791.0079534,384348.2903847,145858.2027044,691997.5010426
Monte Caseros,Bella Vista,161791.0079534,384348.2903847,145858.2027044,691997.5010426
Monte Caseros,Sauce,161791.0079534,384348.2903847,145858.2027044,691997.5010426
Monte Caseros,Santo Tome,161791.0079534,384348.2903847,145858.2027044,691997.5010426
Mercedes,San Roque,161791.0079534,384348.2903847,145858.2027044,691997.5010426
Mercedes,San Miguel,161791.0079534,384348.2903847,145858.2027044,691997.5010426
Mercedes,La Cruz,161791.0079534,384348.2903847,145858.2027044,691997.5010426
Mercedes,San Luis del Palmar,218410.2590271,384348.2903847,191153.4912667,793912.0406785
Mercedes,San Cosme,218410.2590271,384348.2903847,189479.4409199,792237.9903317
Mercedes,Saladas,218410.2590271,384348.2903847,189479.4409199,792237.9903317
Mercedes,Paso de los Libres,218410.2590271,384348.2903847,189479.4409199,792237.9903317
Mercedes,Monte Caseros,218410.2590271,384348.2903847,189479.4409199,792237.9903317
Mercedes,Mercedes,218410.2590271,0.0000000,189479.4409199,792237.9903317
Mercedes,Mburucuya,218410.2590271,0.0000000,189479.4409199,792237.9903317
Mercedes,Santa Lucia,218410.2590271,0.0000000,189479.4409199,792237.9903317
Mercedes,Ituzaingo,218410.2590271,0.0000000,189479.4409199,792237.9903317
Mercedes,Itati,218410.2590271,384348.2903847,175329.1242904,778087.6737022
Mercedes,Goya,218410.2590271,384348.2903847,175329.1242904,778087.6737022
Mercedes,Caa Cati,218410.2590271,384348.2903847,175329.1242904,778087.6737022
Mercedes,Alvear,218410.2590271,384348.2903847,175329.1242904,778087.6737022
Mercedes,Esquina,218410.2590271,384348.2903847,175329.1242904,778087.6737022
Mercedes,Empedrado,218410.2590271,384348.2903847,175329.1242904,778087.6737022
Mercedes,Curuzu Cuatia,218410.2590271,384348.2903847,175329.1242904,778087.6737022
Mercedes,Concepcion,218410.2590271,384348.2903847,175329.1242904,778087.6737022
Mercedes,Corrientes,218410.2590271,384348.2903847,206190.1685076,808948.7179194
Mercedes,San Antonio de Itati,218410.2590271,384348.2903847,145858.2027044,748616.7521162
Mercedes,Bella Vista,218410.2590271,384348.2903847,145858.2027044,748616.7521162
Mercedes,Sauce,218410.2590271,384348.2903847,145858.2027044,748616.7521162
Mercedes,Santo Tome,218410.2590271,384348.2903847,145858.2027044,748616.7521162
Mburucuya,San Roque,218410.2590271,384348.2903847,145858.2027044,748616.7521162
Mburucuya,San Miguel,218410.2590271,384348.2903847,145858.2027044,748616.7521162
Mburucuya,La Cruz,218410.2590271,384348.2903847,145858.2027044,748616.7521162
Mburucuya,San Luis del Palmar,282940.7738737,384348.2903847,191153.4912667,858442.5555251
Mburucuya,San Cosme,282940.7738737,384348.2903847,189479.4409199,856768.5051783
Mburucuya,Saladas,282940.7738737,384348.2903847,189479.4409199,856768.5051783
Mburucuya,Paso de los Libres,282940.7738737,384348.2903847,189479.4409199,856768.5051783
Mburucuya,Monte Caseros,282940.7738737,384348.2903847,189479.4409199,856768.5051783
Mburucuya,Mercedes,282940.7738737,384348.2903847,189479.4409199,856768.5051783
Mburucuya,Mburucuya,282940.7738737,0.0000000,189479.4409199,856768.5051783
Mburucuya,Santa Lucia,282940.7738737,0.0000000,189479.4409199,856768.5051783
Mburucuya,Ituzaingo,282940.7738737,0.0000000,189479.4409199,856768.5051783
Mburucuya,Itati,282940.7738737,384348.2903847,175329.1242904,842618.1885488
Mburucuya,Goya,282940.7738737,384348.2903847,175329.1242904,842618.1885488
Mburucuya,Caa Cati,282940.7738737,384348.2903847,175329.1242904,842618.1885488
Mburucuya,Alvear,282940.7738737,384348.2903847,175329.1242904,842618.1885488
Mburucuya,Esquina,282940.7738737,384348.2903847,175329.1242904,842618.1885488
Mburucuya,Empedrado,282940.7738737,384348.2903847,175329.1242904,842618.1885488
Mburucuya,Curuzu Cuatia,282940.7738737,384348.2903847,175329.1242904,842618.1885488
Mburucuya,Concepcion,282940.7738737,384348.2903847,175329.1242904,842618.1885488
Mburucuya,Corrientes,282940.7738737,384348.2903847,206190.1685076,873479.2327660
Mburucuya,San Antonio de Itati,282940.7738737,384348.2903847,145858.2027044,813147.2669628
Mburucuya,Bella Vista,282940.7738737,384348.2903847,145858.2027044,813147.2669628
Mburucuya,Sauce,282940.7738737,384348.2903847,145858.2027044,813147.2669628
Mburucuya,Santo Tome,282940.7738737,384348.2903847,145858.2027044,813147.2669628
Santa Lucia,San Roque,282940.7738737,384348.2903847,145858.2027044,813147.2669628
Santa Lucia,San Miguel,282940.7738737,384348.2903847,145858.2027044,813147.2669628
Santa Lucia,La Cruz,282940.7738737,384348.2903847,145858.2027044,813147.2669628
Santa Lucia,San Luis del Palmar,230823.1031979,384348.2903847,191153.4912667,806324.8848493
Santa Lucia,San Cosme,230823.1031979,384348.2903847,189479.4409199,804650.8345026
Santa Lucia,Saladas,230823.1031979,384348.2903847,189479.4409199,804650.8345026
Santa Lucia,Paso de los Libres,230823.1031979,384348.2903847,189479.4409199,804650.8345026
Santa Lucia,Monte Caseros,230823.1031979,384348.2903847,189479.4409199,804650.8345026
Santa Lucia,Mercedes,230823.1031979,384348.2903847,189479.4409199,804650.8345026
Santa Lucia,Mburucuya,230823.1031979,384348.2903847,189479.4409199,804650.8345026
Santa Lucia,Santa Lucia,230823.1031979,0.0000000,189479.4409199,804650.8345026
Santa Lucia,Ituzaingo,230823.1031979,0.0000000,189479.4409199,804650.8345026
Santa Lucia,Itati,230823.1031979,384348.2903847,175329.1242904,790500.5178731
Santa Lucia,Goya,230823.1031979,384348.2903847,175329.1242904,790500.5178731
Santa Lucia,Caa Cati,230823.1031979,384348.2903847,175329.1242904,790500.5178731
Santa Lucia,Alvear,230823.1031979,384348.2903847,175329.1242904,790500.5178731
Santa Lucia,Esquina,230823.1031979,384348.2903847,175329.1242904,790500.5178731
Santa Lucia,Empedrado,230823.1031979,384348.2903847,175329.1242904,790500.5178731
Santa Lucia,Curuzu Cuatia,230823.1031979,384348.2903847,175329.1242904,790500.5178731
Santa Lucia,Concepcion,230823.1031979,384348.2903847,175329.1242904,790500.5178731
Santa Lucia,Corrientes,230823.1031979,384348.2903847,206190.1685076,821361.5620902
Santa Lucia,San Antonio de Itati,230823.1031979,384348.2903847,145858.2027044,761029.5962871
Santa Lucia,Bella Vista,230823.1031979,384348.2903847,145858.2027044,761029.5962871
Santa Lucia,Sauce,230823.1031979,384348.2903847,145858.2027044,761029.5962871
Santa Lucia,Santo Tome,230823.1031979,384348.2903847,145858.2027044,761029.5962871
Ituzaingo,San Roque,230823.1031979,384348.2903847,145858.2027044,761029.5962871
Ituzaingo,San Miguel,230823.1031979,384348.2903847,145858.2027044,761029.5962871
Ituzaingo,La Cruz,230823.1031979,384348.2903847,145858.2027044,761029.5962871
Ituzaingo,San Luis del Palmar,321216.2805738,384348.2903847,191153.4912667,896718.0622252
Ituzaingo,San Cosme,321216.2805738,384348.2903847,189479.4409199,895044.0118785
Ituzaingo,Saladas,321216.2805738,384348.2903847,189479.4409199,895044.0118785
Ituzaingo,Paso de los Libres,321216.2805738,384348.2903847,189479.4409199,895044.0118785
Ituzaingo,Monte Caseros,321216.2805738,384348.2903847,189479.4409199,895044.0118785
Ituzaingo,Mercedes,321216.2805738,384348.2903847,189479.4409199,895044.0118785
Ituzaingo,Mburucuya,321216.2805738,384348.2903847,189479.4409199,895044.0118785
Ituzaingo,Santa Lucia,321216.2805738,384348.2903847,189479.4409199,895044.0118785
Ituzaingo,Ituzaingo,321216.2805738,0.0000000,189479.4409199,895044.0118785
Ituzaingo,Itati,321216.2805738,384348.2903847,175329.1242904,880893.6952490
Ituzaingo,Goya,321216.2805738,384348.2903847,175329.1242904,880893.6952490
Ituzaingo,Caa Cati,321216.2805738,384348.2903847,175329.1242904,880893.6952490
Ituzaingo,Alvear,321216.2805738,384348.2903847,175329.1242904,880893.6952490
Ituzaingo,Esquina,321216.2805738,384348.2903847,175329.1242904,880893.6952490
Ituzaingo,Empedrado,321216.2805738,384348.2903847,175329.1242904,880893.6952490
Ituzaingo,Curuzu Cuatia,321216.2805738,384348.2903847,175329.1242904,880893.6952490
Ituzaingo,Concepcion,321216.2805738,384348.2903847,175329.1242904,880893.6952490
Ituzaingo,Corrientes,321216.2805738,384348.2903847,206190.1685076,911754.7394661
Ituzaingo,San Antonio de Itati,321216.2805738,384348.2903847,145858.2027044,851422.7736630
Ituzaingo,Bella Vista,321216.2805738,384348.2903847,145858.2027044,851422.7736630
Ituzaingo,Sauce,321216.2805738,384348.2903847,145858.2027044,851422.7736630
Ituzaingo,Santo Tome,321216.2805738,384348.2903847,145858.2027044,851422.7736630
Itati,San Roque,175329.1242904,384348.2903847,252964.6745167,812642.0891919
Itati,San Miguel,175329.1242904,384348.2903847,288776.8910290,848454.3057041
Itati,La Cruz,175329.1242904,384348.2903847,235752.0091179,795429.4237930
Itati,San Luis del Palmar,175329.1242904,384348.2903847,235752.0091179,795429.4237930
Itati,San Cosme,175329.1242904,384348.2903847,235752.0091179,795429.4237930
Itati,Saladas,175329.1242904,384348.2903847,270892.2577682,830569.6724433
Itati,Paso de los Libres,175329.1242904,384348.2903847,198807.1782721,758484.5929473
Itati,Monte Caseros,175329.1242904,384348.2903847,161791.0079534,721468.4226286
Itati,Mercedes,175329.1242904,384348.2903847,218410.2590271,778087.6737022
